iter	Passed	Remaining
575	3931	2893
576	3938	2887
577	3945	2880
578	3953	2874
579	3960	2867
580	3968	2862
581	3979	2858
582	3988	2852
583	3998	2848
584	4008	2843
585	4017	2838
586	4028	2834
587	4036	2828
588	4046	2823
589	4053	2817
590	4061	2810
591	4067	2803
592	4074	2796
593	4081	2789
594	4088	2782
595	4094	2775
596	4101	2768
597	4108	2761
598	4114	2754
599	4121	2747
600	4129	2741
601	4135	2734
602	4142	2727
603	4149	2720
604	4155	2713
605	4162	2706
606	4169	2699
607	4176	2692
608	4184	2686
609	4190	2679
610	4197	2672
611	4203	2664
612	4209	2657
613	4215	2650
614	4222	2643
615	4228	2635
616	4234	2628
617	4240	2621
618	4247	2614
619	4253	2607
620	4260	2600
621	4267	2593
622	4274	2586
623	4281	2580
624	4288	2573
625	4295	2566
626	4302	2559
627	4309	2552
628	4316	2546
629	4323	2539
630	4330	2532
631	4337	2525
632	4344	2518
633	4351	2512
634	4358	2505
635	4364	2497
636	4371	2491
637	4377	2483
638	4384	2477
639	4392	2470
640	4399	2463
641	4406	2457
642	4413	2450
643	4420	2443
644	4429	2438
645	4436	2431
646	4443	2424
647	4450	2417
648	4457	2411
649	4464	2404
650	4472	2397
651	4478	2390
652	4485	2383
653	4492	2376
654	4498	2369
655	4507	2363
656	4514	2356
657	4521	2349
658	4528	2343
659	4535	2336
660	4542	2329
661	4549	2322
662	4556	2316
663	4563	2309
664	4569	2302
665	4576	2295
666	4583	2288
667	4591	2281
668	4597	2274
669	4604	2268
670	4611	2261
671	4618	2254
672	4625	2247
673	4632	2240
674	4639	2234
675	4646	2227
676	4653	2220
677	4660	2213
678	4667	2206
679	4673	2199
680	4680	2192
681	4687	2185
682	4694	2178
683	4700	2171
684	4708	2165
685	4715	2158
686	4722	2151
687	4729	2144
688	4736	2138
689	4743	2131
690	4751	2124
691	4759	2118
692	4766	2111
693	4773	2104
694	4780	2097
695	4787	2090
696	4794	2084
697	4801	2077
698	4808	2070
699	4815	2063
700	4822	2056
701	4829	2050
702	4836	2043
703	4844	2036
704	4851	2029
705	4857	2022
706	4864	2016
707	4871	2009
708	4877	2002
709	4884	1995
710	4891	1988
711	4898	1981
712	4904	1974
713	4910	1967
714	4917	1960
715	4924	1953
716	4930	1946
717	4936	1939
718	4943	1931
719	4949	1924
720	4956	1917
721	4962	1910
722	4969	1903
723	4975	1896
724	4982	1889
725	4988	1882
726	4994	1875
727	5001	1868
728	5007	1861
729	5014	1854
730	5021	1847
731	5028	1840
732	5035	1834
733	5041	1827
734	5048	1820
735	5055	1813
736	5062	1806
737	5069	1799
738	5075	1792
739	5082	1785
740	5088	1778
741	5095	1771
742	5101	1764
743	5108	1757
744	5114	1750
745	5121	1743
746	5127	1736
747	5133	1729
748	5140	1722
749	5146	1715
750	5153	1708
751	5160	1701
752	5166	1694
753	5173	1687
754	5179	1680
755	5186	1673
756	5192	1666
757	5198	1659
758	5205	1652
759	5211	1645
760	5218	1638
761	5225	1632
762	5231	1625
763	5238	1618
764	5245	1611
765	5252	1604
766	5258	1597
767	5265	1590
768	5272	1583
769	5279	1577
770	5286	1570
771	5293	1563
772	5299	1556
773	5306	1549
774	5313	1542
775	5320	1535
776	5326	1528
777	5332	1521
778	5339	1514
779	5345	1507
780	5352	1500
781	5358	1493
782	5365	1486
783	5371	1479
784	5377	1472
785	5383	1465
786	5390	1458
787	5396	1451
788	5402	1444
789	5409	1437
790	5415	1431
791	5423	1424
792	5430	1417
793	5437	1410
794	5444	1404
795	5451	1397
796	5458	1390
797	5464	1383
798	5471	1376
799	5478	1369
800	5484	1362
801	5491	1355
802	5497	1348
803	5504	1341
804	5510	1334
805	5517	1327
806	5523	1321
807	5530	1314
808	5536	1307
809	5543	1300
810	5549	1293
811	5555	1286
812	5561	1279
813	5567	1272
814	5573	1265
815	5580	1258
816	5586	1251
817	5593	1244
818	5600	1237
819	5606	1230
820	5612	1223
821	5619	1216
822	5626	1210
823	5632	1203
824	5638	1196
825	5644	1189
826	5651	1182
827	5657	1175
828	5664	1168
829	5671	1161
830	5677	1154
831	5684	1147
832	5690	1140
833	5696	1133
834	5703	1127
835	5710	1120
836	5717	1113
837	5723	1106
838	5729	1099
839	5735	1092
840	5741	1085
841	5748	1078
842	5754	1071
843	5760	1064
844	5767	1057
845	5773	1051
846	5780	1044
847	5786	1037
848	5792	1030
849	5799	1023
850	5805	1016
851	5812	1009
852	5819	1002
853	5827	996
854	5834	989
855	5841	982
856	5848	975
857	5855	969
858	5861	962
859	5868	955
860	5874	948
861	5881	941
862	5888	934
863	5895	928
864	5903	921
865	5909	914
866	5916	907
867	5923	900
868	5930	893
869	5936	887
870	5943	880
871	5950	873
872	5956	866
873	5962	859
874	5969	852
875	5975	845
876	5981	838
877	5987	831
878	5993	825
879	5999	818
880	6005	811
881	6012	804
882	6018	797
883	6024	790
884	6030	783
885	6037	776
886	6043	769
887	6049	762
888	6056	756
889	6062	749
890	6068	742
891	6075	735
